tick,0,1,2,3,4
0.0,12,-36,30,10,-39
0.01,13,-37,30,12,-40
0.02,14,-37,28,13,-40
0.03,14,-38,27,15,-40
0.04,15,-38,26,16,-40
0.05,16,-39,25,17,-40
0.06,16,-39,24,19,-40
0.07,17,-39,23,20,-40
0.08,17,-40,22,21,-40
0.09,18,-40,21,22,-39
0.1,19,-40,19,23,-39
0.11,19,-40,18,24,-39
0.12,19,-40,17,25,-39
0.13,20,-40,16,26,-38
0.14,20,-40,15,27,-38
0.15,21,-40,13,28,-37
0.16,21,-40,12,29,-37
0.17,21,-40,11,30,-36
0.18,22,-39,9,31,-36
0.19,22,-39,8,32,-35
0.2,22,-39,7,32,-35
0.21,23,-38,6,33,-34
0.22,23,-38,4,34,-33
0.23,23,-38,3,34,-33
0.24,23,-37,2,35,-32
0.25,23,-37,1,36,-31
0.26,23,-36,0,36,-30
0.27,23,-36,-1,37,-29
0.28,24,-35,-2,37,-28
0.29,24,-34,-3,38,-28
0.3,24,-34,-5,38,-27
0.31,24,-33,-6,38,-26
0.32,24,-33,-7,39,-25
0.33,24,-32,-8,39,-24
0.34,23,-31,-9,39,-23
0.35000000000000003,23,-30,-10,39,-22
0.36,23,-30,-12,40,-21
0.37,23,-29,-13,40,-20
0.38,23,-28,-14,40,-19
0.39,23,-27,-15,40,-18
0.4,23,-26,-16,40,-17
0.41000000000000003,22,-25,-17,40,-16
0.42,22,-24,-18,40,-14
0.43,22,-23,-19,40,-13
0.44,22,-22,-20,40,-12
0.45,21,-22,-21,40,-11
0.46,21,-20,-22,39,-10
0.47000000000000003,21,-20,-23,39,-9
0.48,20,-18,-24,39,-8
0.49,20,-17,-25,39,-7
0.5,20,-16,-26,38,-6
0.51,19,-15,-27,38,-5
0.52,19,-14,-28,38,-3
0.53,19,-13,-28,37,-2
0.54,18,-12,-29,37,-1
0.55,18,-11,-30,36,0
0.56,17,-10,-31,36,0
0.5700000000000001,17,-9,-31,36,1
0.58,16,-8,-32,35,3
0.59,16,-7,-33,34,3
0.6,15,-5,-33,34,5
0.61,15,-4,-34,33,6
0.62,14,-3,-35,33,7
0.63,14,-2,-35,32,8
0.64,13,-1,-36,31,9
0.65,12,0,-36,30,11
0.66,12,1,-37,30,12
0.67,11,2,-37,29,13
0.68,11,3,-38,28,14
0.6900000000000001,10,4,-38,27,15
0.7000000000000001,9,6,-38,26,17
0.71,9,7,-39,25,17
0.72,8,8,-39,24,19
0.73,7,9,-39,23,19
0.74,6,10,-39,22,21
0.75,6,12,-40,21,22
0.76,5,13,-40,20,23
0.77,4,14,-40,19,24
0.78,4,15,-40,18,25
0.79,3,16,-40,16,26
0.8,2,18,-40,15,27
0.81,1,19,-40,14,28
0.8200000000000001,0,20,-40,13,29
0.8300000000000001,0,21,-40,11,30
0.84,0,22,-39,10,31
0.85,-1,23,-39,9,31
0.86,-2,24,-39,8,32
0.87,-2,25,-39,7,33
0.88,-3,26,-38,5,34
0.89,-4,27,-38,4,34
0.9,-5,28,-37,2,35
0.91,-6,29,-37,1,36
0.92,-6,30,-36,0,36
0.93,-7,31,-36,-1,37
0.9400000000000001,-8,32,-35,-2,37
0.9500000000000001,-9,33,-34,-3,38
0.96,-9,34,-34,-5,38
0.97,-10,34,-33,-6,39
0.98,-11,35,-32,-8,39
0.99,-12,36,-31,-9,39
1.0,-12,36,-30,-10,39
1.01,-13,37,-30,-12,40
1.02,-14,37,-28,-13,40
1.03,-14,38,-27,-15,40
1.04,-15,38,-26,-16,40
1.05,-16,39,-25,-17,40
1.06,-16,39,-24,-19,40
1.07,-17,39,-23,-20,40
1.08,-17,40,-22,-21,40
1.09,-18,40,-21,-22,39
1.1,-19,40,-19,-23,39
1.11,-19,40,-18,-24,39
1.12,-19,40,-17,-25,39
1.1300000000000001,-20,40,-16,-26,38
1.1400000000000001,-20,40,-15,-27,38
1.1500000000000001,-21,40,-13,-28,37
1.16,-21,40,-12,-29,37
1.17,-21,40,-11,-30,36
1.18,-22,39,-9,-31,36
1.19,-22,39,-8,-32,35
1.2,-22,39,-7,-32,35
1.21,-23,38,-6,-33,34
1.22,-23,38,-4,-34,33
1.23,-23,38,-3,-34,33
1.24,-23,37,-2,-35,32
1.25,-23,37,-1,-36,31
1.26,-23,36,0,-36,30
1.27,-23,36,1,-37,29
1.28,-24,35,2,-37,28
1.29,-24,34,3,-38,28
1.3,-24,34,5,-38,27
1.31,-24,33,6,-38,26
1.32,-24,33,7,-39,25
1.33,-24,32,8,-39,24
1.34,-23,31,9,-39,23
1.35,-23,30,10,-39,22
1.36,-23,30,12,-40,21
1.37,-23,29,13,-40,20
1.3800000000000001,-23,28,14,-40,19
1.3900000000000001,-23,27,15,-40,18
1.4000000000000001,-23,26,16,-40,17
1.41,-22,25,17,-40,16
1.42,-22,24,18,-40,14
1.43,-22,23,19,-40,13
1.44,-22,22,20,-40,12
1.45,-21,22,21,-40,11
1.46,-21,20,22,-39,10
1.47,-21,20,23,-39,9
1.48,-20,18,24,-39,8
1.49,-20,17,25,-39,7
1.5,-20,16,26,-38,6
1.51,-19,15,27,-38,5
1.52,-19,14,28,-38,3
1.53,-19,13,28,-37,2
1.54,-18,12,29,-37,1
1.55,-18,11,30,-36,0
1.56,-17,10,31,-36,0
1.57,-17,9,31,-36,-1
1.58,-16,8,32,-35,-3
1.59,-16,7,33,-34,-3
1.6,-15,5,33,-34,-5
1.61,-15,4,34,-33,-6
1.62,-14,3,35,-33,-7
1.6300000000000001,-14,2,35,-32,-8
1.6400000000000001,-13,1,36,-31,-9
1.6500000000000001,-12,0,36,-30,-11
1.6600000000000001,-12,-1,37,-30,-12
1.67,-11,-2,37,-29,-13
1.68,-11,-3,38,-28,-14
1.69,-10,-4,38,-27,-15
1.7,-9,-6,38,-26,-17
1.71,-9,-7,39,-25,-17
1.72,-8,-8,39,-24,-19
1.73,-7,-9,39,-23,-19
1.74,-6,-10,39,-22,-21
1.75,-6,-12,40,-21,-22
1.76,-5,-13,40,-20,-23
1.77,-4,-14,40,-19,-24
1.78,-4,-15,40,-18,-25
1.79,-3,-16,40,-16,-26
1.8,-2,-18,40,-15,-27
1.81,-1,-19,40,-14,-28
1.82,0,-20,40,-13,-29
1.83,0,-21,40,-11,-30
1.84,0,-22,39,-10,-31
1.85,1,-23,39,-9,-31
1.86,2,-24,39,-8,-32
1.87,2,-25,39,-7,-33
1.8800000000000001,3,-26,38,-5,-34
1.8900000000000001,4,-27,38,-4,-34
1.9000000000000001,5,-28,37,-2,-35
1.9100000000000001,6,-29,37,-1,-36
1.92,6,-30,36,0,-36
1.93,7,-31,36,1,-37
1.94,8,-32,35,2,-37
1.95,9,-33,34,3,-38
1.96,9,-34,34,5,-38
1.97,10,-34,33,6,-39
1.98,11,-35,32,8,-39
1.99,12,-36,31,9,-39
2.0,12,-36,30,10,-39
2.0100000000000002,13,-37,30,12,-40
2.02,14,-37,28,13,-40
2.0300000000000002,14,-38,27,15,-40
2.04,15,-38,26,16,-40
2.05,16,-39,25,17,-40
2.06,16,-39,24,19,-40
2.07,17,-39,23,20,-40
2.08,17,-40,22,21,-40
2.09,18,-40,21,22,-39
2.1,19,-40,19,23,-39
2.11,19,-40,18,24,-39
2.12,19,-40,17,25,-39
2.13,20,-40,16,26,-38
2.14,20,-40,15,27,-38
2.15,21,-40,13,28,-37
2.16,21,-40,12,29,-37
2.17,21,-40,11,30,-36
2.18,22,-39,9,31,-36
2.19,22,-39,8,32,-35
